customer_id,transaction_id,date,segment,region,business_type,employment_status,income,loan_amount,existing_debt,transaction_amount,transaction_frequency,account_age_months,repayment_history_score,defaulted,repayment_status,risk_score,risk_level,suspicious_category
CUST-12939,TXN-200018,2025-06-06,Retail,Kigali,Education,Salaried,121157.0,57715.0,64996.0,139319.0,29,73,94.5,0,Repaid,1.2,Low,Normal
CUST-11576,TXN-200019,2026-01-02,SME,Abuja,Shop,Contract,117581.0,219755.0,18829.0,65198.0,32,23,90.7,0,Repaid,3.5,Low,Loan-to-income mismatch
CUST-11751,TXN-200020,2026-05-21,Retail,Nairobi,Shop,Self-employed,135264.0,55417.0,47719.0,72273.0,26,20,36.2,0,Repaid,6.4,Low,High-risk repayment pattern
CUST-11297,TXN-200021,2026-02-08,Services,Lagos,Health,Salaried,283637.0,469953.0,12929.0,72137.0,21,51,96.1,0,Repaid,1.8,Low,Loan-to-income mismatch
CUST-10638,TXN-200022,2025-04-28,Services,Abuja,Education,Self-employed,214919.0,166415.0,33308.0,21777.0,35,75,68.2,0,Repaid,4.2,Low,Normal
CUST-13243,TXN-200023,2026-04-02,Agriculture,Kano,Food,Self-employed,163861.0,201264.0,81916.0,20793.0,21,75,75.4,0,Repaid,6.5,Low,Normal
CUST-12735,TXN-200024,2026-05-31,Market Trader,Nairobi,Education,Salaried,134104.0,83677.0,69713.0,60198.0,28,51,92.5,0,Repaid,1.0,Low,Normal
CUST-12253,TXN-200025,2025-05-20,SME,Lagos,Fintech Agent,Salaried,135678.0,244369.0,69078.0,33288.0,27,25,100.0,0,Repaid,7.0,Low,Loan-to-income mismatch
CUST-11408,TXN-200026,2025-12-02,Retail,Kumasi,Food,Self-employed,186774.0,426811.0,20490.0,84961.0,17,47,90.1,0,Repaid,7.5,Low,Loan-to-income mismatch
CUST-12879,TXN-200027,2026-01-21,SME,Nairobi,Education,Salaried,208012.0,139841.0,76372.0,24299.0,37,71,76.3,0,Repaid,1.4,Low,Normal
CUST-11909,TXN-200028,2025-11-18,Retail,Lagos,Education,Contract,111168.0,255242.0,31828.0,80011.0,22,84,47.2,0,Repaid,39.2,Medium,Loan-to-income mismatch
CUST-11551,TXN-200029,2026-05-29,Market Trader,Accra,Health,Salaried,165268.0,149090.0,106538.0,43109.0,23,9,35.5,0,Repaid,22.9,Low,High-risk repayment pattern
CUST-11576,TXN-200030,2025-05-11,Retail,Kigali,Transport,Salaried,69336.0,98348.0,29958.0,13432.0,33,74,87.8,0,Repaid,3.4,Low,Normal
CUST-10795,TXN-200031,2025-04-18,Services,Accra,Shop,Salaried,177890.0,309089.0,108367.0,56851.0,31,72,96.2,0,Repaid,5.6,Low,Loan-to-income mismatch
CUST-10322,TXN-200032,2026-04-03,Retail,Nairobi,Fintech Agent,Salaried,224157.0,139510.0,25009.0,46050.0,22,22,57.3,0,Repaid,2.9,Low,Normal
CUST-11941,TXN-200033,2025-02-05,Market Trader,Nairobi,Food,Salaried,144693.0,168911.0,43994.0,70639.0,35,8,67.1,0,Repaid,6.0,Low,Normal
CUST-13107,TXN-200034,2025-01-17,Retail,Kano,Education,Self-employed,349040.0,115385.0,176654.0,39683.0,46,31,62.0,0,Repaid,3.5,Low,Normal
CUST-10223,TXN-200035,2026-04-08,SME,Kumasi,Food,Salaried,112407.0,194179.0,28299.0,112107.0,28,28,61.5,0,Repaid,14.8,Low,Loan-to-income mismatch
CUST-13004,TXN-200036,2026-03-14,Services,Kigali,Transport,Self-employed,178318.0,197021.0,74623.0,69514.0,18,12,91.3,0,Repaid,1.1,Low,Normal
CUST-12896,TXN-200037,2025-03-11,Retail,Kano,Transport,Salaried,160324.0,346212.0,54891.0,146291.0,33,26,75.9,0,Repaid,10.0,Low,Loan-to-income mismatch
CUST-10968,TXN-200038,2026-03-03,Retail,Lagos,Health,Unemployed,156041.0,123001.0,100633.0,31076.0,16,20,67.9,0,Repaid,14.2,Low,Normal
CUST-12210,TXN-200039,2026-01-07,Retail,Nairobi,Education,Self-employed,155125.0,345990.0,20095.0,65344.0,34,85,100.0,0,Repaid,3.8,Low,Loan-to-income mismatch
CUST-10578,TXN-200040,2026-04-13,SME,Kano,Education,Contract,170243.0,83948.0,103724.0,19327.0,27,10,46.2,0,Repaid,6.7,Low,Normal
CUST-12653,TXN-200041,2025-07-19,SME,Kumasi,Health,Self-employed,232383.0,354957.0,63438.0,5871.0,33,52,81.9,0,Repaid,3.2,Low,Normal
CUST-12451,TXN-200042,2025-06-17,Agriculture,Abuja,Transport,Salaried,290294.0,250621.0,91395.0,52050.0,30,32,53.1,0,Repaid,7.0,Low,Normal
CUST-11240,TXN-200043,2025-07-03,Agriculture,Abuja,Food,Self-employed,162601.0,94887.0,57401.0,69927.0,23,81,69.2,0,Repaid,2.4,Low,Normal
CUST-10237,TXN-200044,2025-12-05,Retail,Nairobi,Education,Self-employed,229219.0,89061.0,42905.0,17884.0,27,46,74.7,0,Repaid,1.6,Low,Normal
CUST-13397,TXN-200045,2026-05-01,Services,Lagos,Health,Self-employed,121207.0,198237.0,76009.0,23415.0,23,56,87.2,0,Repaid,6.9,Low,Loan-to-income mismatch
CUST-11559,TXN-200046,2026-05-01,Agriculture,Accra,Shop,Informal,224516.0,156630.0,133416.0,69787.0,32,39,67.3,0,Repaid,5.5,Low,Normal
CUST-13125,TXN-200047,2025-07-01,SME,Nairobi,Transport,Salaried,118180.0,171556.0,74800.0,32116.0,26,77,65.4,0,Repaid,19.6,Low,Normal
CUST-12372,TXN-200048,2025-02-04,Market Trader,Accra,Transport,Salaried,257320.0,605811.0,166759.0,19306.0,23,64,67.0,0,Repaid,16.5,Low,Loan-to-income mismatch
CUST-12724,TXN-200049,2025-07-30,Agriculture,Abuja,Transport,Contract,411873.0,363039.0,182037.0,85964.0,32,53,52.6,1,Defaulted,15.0,Low,Normal
CUST-12659,TXN-200050,2025-08-19,SME,Kumasi,Fintech Agent,Salaried,154620.0,39826.0,47091.0,156234.0,20,39,83.4,0,Repaid,1.0,Low,Unusually high amount
CUST-10681,TXN-200051,2025-01-09,Market Trader,Lagos,Transport,Contract,65000.0,32309.0,36138.0,39004.0,29,44,77.1,0,Repaid,2.0,Low,Normal
CUST-11273,TXN-200052,2026-05-20,Retail,Kumasi,Health,Contract,129290.0,57520.0,4525.0,43047.0,31,25,79.8,0,Repaid,1.0,Low,Normal
CUST-11633,TXN-200053,2025-04-05,SME,Kano,Health,Informal,273044.0,329971.0,148993.0,159326.0,39,63,70.7,1,Defaulted,22.7,Low,Unusually high amount
CUST-11742,TXN-200054,2025-10-26,SME,Accra,Health,Salaried,205313.0,376364.0,68429.0,116279.0,29,29,68.5,1,Defaulted,7.3,Low,Loan-to-income mismatch
CUST-10153,TXN-200055,2025-07-06,Retail,Kigali,Shop,Salaried,180691.0,151438.0,80250.0,117696.0,35,28,93.2,0,Repaid,1.0,Low,Normal
CUST-11912,TXN-200056,2026-01-04,Services,Kigali,Shop,Self-employed,248610.0,125242.0,63557.0,22170.0,21,45,90.4,0,Repaid,1.0,Low,Normal
CUST-10540,TXN-200057,2025-12-10,Retail,Nairobi,Shop,Salaried,199480.0,319667.0,50315.0,30829.0,23,88,97.5,0,Repaid,4.7,Low,Loan-to-income mismatch
CUST-12601,TXN-200058,2026-04-16,Market Trader,Accra,Fintech Agent,Informal,271426.0,230338.0,10852.0,6553.0,27,43,78.7,0,Repaid,6.7,Low,Normal
CUST-12390,TXN-200059,2025-02-02,Market Trader,Nairobi,Shop,Self-employed,239464.0,348870.0,68723.0,7751.0,15,87,96.3,0,Repaid,2.3,Low,Normal
CUST-13228,TXN-200060,2025-05-25,SME,Lagos,Health,Self-employed,308388.0,694800.0,85505.0,14245.0,21,51,64.5,1,Defaulted,15.8,Low,Loan-to-income mismatch
CUST-12606,TXN-200061,2025-06-30,Retail,Abuja,Food,Salaried,189225.0,156449.0,30582.0,31443.0,32,8,68.4,0,Repaid,3.3,Low,Normal
CUST-11283,TXN-200062,2026-04-09,SME,Accra,Fintech Agent,Self-employed,238044.0,313678.0,41851.0,28267.0,13,56,93.5,0,Repaid,2.1,Low,Normal
CUST-13386,TXN-200063,2025-07-08,Market Trader,Nairobi,Food,Salaried,143058.0,281985.0,55508.0,38463.0,22,88,87.2,0,Repaid,7.2,Low,Loan-to-income mismatch
CUST-11437,TXN-200064,2025-09-21,Retail,Kano,Food,Self-employed,126423.0,216893.0,27838.0,24586.0,24,84,66.8,0,Repaid,8.2,Low,Loan-to-income mismatch
CUST-11140,TXN-200065,2026-02-13,Retail,Kano,Food,Salaried,333315.0,616060.0,181010.0,93172.0,26,19,53.2,0,Repaid,24.1,Low,Loan-to-income mismatch
CUST-13169,TXN-200066,2026-04-19,Market Trader,Kigali,Health,Self-employed,178226.0,337757.0,16071.0,16442.0,31,27,68.3,0,Repaid,10.4,Low,Loan-to-income mismatch
CUST-11296,TXN-200067,2025-05-22,Market Trader,Kigali,Health,Informal,228216.0,314622.0,87616.0,5972.0,27,66,59.7,0,Repaid,30.3,Low,Normal
CUST-10267,TXN-200068,2025-12-08,Retail,Lagos,Fintech Agent,Salaried,171437.0,234879.0,20714.0,12815.0,18,43,100.0,0,Repaid,1.3,Low,Normal
CUST-11643,TXN-200069,2026-04-06,Market Trader,Accra,Food,Salaried,127219.0,225933.0,44882.0,73239.0,24,79,85.7,0,Repaid,4.5,Low,Loan-to-income mismatch
CUST-12784,TXN-200070,2025-05-19,Market Trader,Kumasi,Fintech Agent,Self-employed,163507.0,282667.0,60188.0,16573.0,40,50,58.2,0,Repaid,12.7,Low,Loan-to-income mismatch
CUST-10663,TXN-200071,2026-05-03,Services,Kumasi,Shop,Contract,297485.0,496065.0,126326.0,54378.0,20,24,53.2,0,Repaid,14.1,Low,Loan-to-income mismatch
CUST-11620,TXN-200072,2025-07-23,Agriculture,Kigali,Education,Salaried,205500.0,211324.0,59447.0,37864.0,26,33,58.0,0,Repaid,7.5,Low,Normal
CUST-10454,TXN-200073,2025-04-25,Retail,Kigali,Education,Salaried,79315.0,160166.0,27044.0,77642.0,30,12,61.9,0,Repaid,11.1,Low,Loan-to-income mismatch
CUST-12402,TXN-200074,2026-02-15,Market Trader,Abuja,Shop,Contract,148687.0,104731.0,19924.0,85459.0,24,28,69.0,0,Repaid,3.5,Low,Normal
CUST-11664,TXN-200075,2025-07-14,Retail,Kigali,Transport,Self-employed,344057.0,180879.0,107242.0,46826.0,31,73,92.1,0,Repaid,1.0,Low,Normal
CUST-11155,TXN-200076,2025-08-03,Market Trader,Kano,Fintech Agent,Self-employed,148777.0,140782.0,37939.0,40874.0,27,22,54.6,0,Repaid,8.2,Low,Normal
CUST-10794,TXN-200077,2026-01-14,Market Trader,Lagos,Shop,Salaried,76405.0,56808.0,33592.0,3760.0,24,43,100.0,0,Repaid,2.8,Low,Normal
CUST-11975,TXN-200078,2025-04-25,Services,Kano,Education,Self-employed,360440.0,595542.0,105947.0,35709.0,26,18,55.0,0,Repaid,17.4,Low,Loan-to-income mismatch
CUST-12344,TXN-200079,2025-05-19,Market Trader,Abuja,Health,Salaried,216773.0,150193.0,110768.0,23742.0,24,47,46.6,1,Defaulted,8.4,Low,Normal
CUST-13291,TXN-200080,2026-01-05,Agriculture,Kigali,Fintech Agent,Self-employed,158039.0,258774.0,45575.0,49985.0,24,92,100.0,0,Repaid,4.2,Low,Loan-to-income mismatch
CUST-11530,TXN-200081,2026-03-03,SME,Kumasi,Transport,Contract,139247.0,183716.0,23468.0,87813.0,21,73,95.8,0,Repaid,1.7,Low,Normal
CUST-10562,TXN-200082,2025-04-03,Market Trader,Kano,Education,Self-employed,256424.0,132940.0,49342.0,12168.0,29,73,68.7,0,Repaid,2.1,Low,Normal
CUST-12914,TXN-200083,2026-05-18,Retail,Lagos,Health,Salaried,129621.0,97688.0,6290.0,35212.0,24,25,78.9,0,Repaid,1.2,Low,Normal
CUST-12204,TXN-200084,2025-01-26,Retail,Kano,Fintech Agent,Salaried,263621.0,352786.0,94943.0,89399.0,30,30,79.3,0,Repaid,3.4,Low,Normal
CUST-12450,TXN-200085,2025-11-22,Agriculture,Kano,Education,Contract,204377.0,369410.0,111070.0,54655.0,41,11,74.5,0,Repaid,11.3,Low,Loan-to-income mismatch
CUST-10340,TXN-200086,2025-08-05,Services,Accra,Transport,Informal,180370.0,191935.0,91004.0,43546.0,34,88,48.7,0,Repaid,22.1,Low,Normal
CUST-11093,TXN-200087,2025-03-25,Market Trader,Abuja,Fintech Agent,Unemployed,173012.0,120570.0,51178.0,47795.0,19,92,27.3,0,Repaid,25.7,Low,High-risk repayment pattern
CUST-12687,TXN-200088,2026-02-08,Market Trader,Accra,Fintech Agent,Contract,151223.0,126282.0,21709.0,3125.0,30,33,56.8,0,Repaid,4.1,Low,Normal
CUST-12912,TXN-200089,2025-01-01,Market Trader,Accra,Food,Self-employed,252501.0,98768.0,142409.0,34058.0,18,67,100.0,0,Repaid,1.0,Low,Normal
CUST-11523,TXN-200090,2025-05-25,Market Trader,Nairobi,Food,Informal,113160.0,26687.0,6311.0,20490.0,25,21,100.0,0,Repaid,1.4,Low,Normal
CUST-12816,TXN-200091,2025-07-31,Services,Kumasi,Education,Self-employed,82355.0,192739.0,22360.0,85135.0,31,63,67.3,0,Repaid,14.4,Low,Loan-to-income mismatch
CUST-12945,TXN-200092,2025-12-24,Retail,Nairobi,Health,Informal,210674.0,83012.0,117907.0,138548.0,32,10,54.8,0,Repaid,10.0,Low,Normal
CUST-11356,TXN-200093,2025-04-28,Market Trader,Abuja,Education,Self-employed,212165.0,97012.0,56797.0,20767.0,27,33,77.0,0,Repaid,2.2,Low,Normal
CUST-13143,TXN-200094,2025-01-28,SME,Lagos,Health,Self-employed,199128.0,420865.0,18770.0,148910.0,32,38,79.9,1,Defaulted,10.1,Low,Loan-to-income mismatch
CUST-11009,TXN-200095,2026-02-04,Market Trader,Accra,Health,Salaried,193155.0,319282.0,36226.0,52286.0,21,95,82.8,0,Repaid,4.5,Low,Loan-to-income mismatch
CUST-10838,TXN-200096,2025-02-12,Retail,Kigali,Transport,Self-employed,142255.0,163320.0,56620.0,3811.0,21,45,26.5,0,Repaid,10.4,Low,High-risk repayment pattern
CUST-12388,TXN-200097,2025-08-31,Market Trader,Kano,Transport,Salaried,226555.0,367208.0,26231.0,77762.0,29,22,100.0,0,Repaid,2.0,Low,Loan-to-income mismatch
CUST-12228,TXN-200098,2025-12-11,SME,Nairobi,Fintech Agent,Self-employed,159670.0,360162.0,69075.0,106308.0,33,6,92.4,0,Repaid,17.5,Low,Loan-to-income mismatch
CUST-10489,TXN-200099,2025-11-23,Services,Kigali,Education,Self-employed,132642.0,53139.0,39268.0,34182.0,31,18,68.4,0,Repaid,1.7,Low,Normal
CUST-12914,TXN-200100,2025-02-24,Services,Lagos,Transport,Informal,142772.0,102944.0,32933.0,52308.0,28,24,59.1,0,Repaid,8.5,Low,Normal
CUST-10699,TXN-200101,2025-11-09,SME,Lagos,Education,Informal,380282.0,794739.0,65326.0,90846.0,22,31,89.8,0,Repaid,15.0,Low,Loan-to-income mismatch
CUST-12817,TXN-200102,2025-01-07,Agriculture,Kumasi,Transport,Salaried,78536.0,150241.0,42307.0,84811.0,27,14,80.9,0,Repaid,10.8,Low,Loan-to-income mismatch
CUST-10025,TXN-200103,2025-01-19,SME,Nairobi,Shop,Contract,200769.0,479286.0,54188.0,138399.0,25,71,73.7,0,Repaid,12.3,Low,Loan-to-income mismatch
CUST-12788,TXN-200104,2025-05-02,Market Trader,Kumasi,Food,Self-employed,80400.0,70501.0,39013.0,25232.0,19,38,80.3,0,Repaid,3.5,Low,Normal
CUST-12754,TXN-200105,2026-01-01,Retail,Kigali,Shop,Salaried,155522.0,354224.0,46256.0,22054.0,17,24,70.0,1,Defaulted,17.7,Low,Loan-to-income mismatch
CUST-12731,TXN-200106,2025-04-20,Market Trader,Lagos,Fintech Agent,Informal,135656.0,127922.0,10564.0,20458.0,28,51,79.2,0,Repaid,2.6,Low,Normal
CUST-12326,TXN-200107,2026-03-03,Market Trader,Accra,Fintech Agent,Salaried,67798.0,119833.0,20171.0,18508.0,29,31,85.1,0,Repaid,2.1,Low,Loan-to-income mismatch
CUST-11650,TXN-200108,2025-03-13,Services,Kumasi,Transport,Contract,191644.0,410059.0,65129.0,26075.0,19,66,78.2,0,Repaid,9.0,Low,Loan-to-income mismatch
CUST-12468,TXN-200109,2025-09-01,SME,Kumasi,Education,Salaried,138744.0,77577.0,42794.0,43261.0,23,51,77.2,0,Repaid,1.1,Low,Normal
CUST-10969,TXN-200110,2025-09-06,Services,Lagos,Food,Informal,67395.0,42898.0,36005.0,17293.0,31,89,97.1,0,Repaid,3.3,Low,Normal
CUST-12732,TXN-200111,2025-10-28,Retail,Lagos,Education,Contract,231566.0,340339.0,137512.0,35371.0,33,63,43.3,0,Repaid,16.8,Low,Normal
CUST-11944,TXN-200112,2025-07-16,Retail,Kigali,Education,Self-employed,297361.0,610569.0,153340.0,90233.0,30,36,57.6,0,Repaid,24.4,Low,Loan-to-income mismatch
CUST-11606,TXN-200113,2025-03-16,Services,Kano,Health,Salaried,304325.0,108117.0,117820.0,35574.0,32,16,72.5,0,Repaid,2.0,Low,Normal
CUST-11769,TXN-200114,2026-01-11,Market Trader,Abuja,Health,Salaried,189238.0,391525.0,68336.0,12179.0,22,11,58.9,0,Repaid,13.3,Low,Loan-to-income mismatch
CUST-11990,TXN-200115,2025-12-06,SME,Abuja,Shop,Salaried,165934.0,156265.0,70706.0,34519.0,38,63,64.9,0,Repaid,4.0,Low,Normal
CUST-10130,TXN-200116,2025-12-05,Retail,Abuja,Fintech Agent,Contract,284312.0,307575.0,57241.0,116087.0,22,5,95.2,0,Repaid,1.2,Low,Normal
CUST-10489,TXN-200117,2026-04-30,Services,Kumasi,Transport,Self-employed,329919.0,308307.0,175340.0,74772.0,19,37,69.3,0,Repaid,6.0,Low,Normal
CUST-10859,TXN-200118,2026-04-03,Retail,Accra,Education,Salaried,262000.0,577313.0,146671.0,20307.0,34,3,39.1,1,Defaulted,37.9,Medium,Loan-to-income mismatch
CUST-10400,TXN-200119,2026-01-03,Services,Kigali,Education,Self-employed,109596.0,51550.0,20642.0,85365.0,25,34,64.4,0,Repaid,3.3,Low,Normal
CUST-11538,TXN-200120,2025-08-13,Retail,Accra,Education,Salaried,177117.0,257686.0,104282.0,67113.0,29,85,73.0,0,Repaid,11.7,Low,Normal
CUST-12339,TXN-200121,2025-01-08,Retail,Lagos,Health,Self-employed,195751.0,99598.0,108583.0,109668.0,31,9,72.7,0,Repaid,2.2,Low,Normal
CUST-12290,TXN-200122,2025-04-23,Agriculture,Accra,Shop,Salaried,76112.0,170604.0,21877.0,8464.0,25,93,82.0,0,Repaid,8.4,Low,Loan-to-income mismatch
CUST-11648,TXN-200123,2025-06-09,Market Trader,Accra,Education,Contract,198220.0,386808.0,117479.0,22261.0,19,93,80.5,0,Repaid,7.7,Low,Loan-to-income mismatch
CUST-12992,TXN-200124,2025-06-02,Retail,Kano,Food,Contract,422801.0,295571.0,40537.0,69994.0,27,83,69.5,0,Repaid,2.7,Low,Normal
CUST-11978,TXN-200125,2026-05-08,SME,Nairobi,Food,Salaried,212942.0,179099.0,8013.0,74869.0,29,67,50.5,0,Repaid,4.3,Low,Normal
CUST-10277,TXN-200126,2025-02-02,Retail,Kigali,Shop,Salaried,302197.0,310345.0,72272.0,103523.0,34,18,64.1,0,Repaid,3.3,Low,Normal
CUST-12677,TXN-200127,2025-12-11,Market Trader,Accra,Education,Self-employed,175751.0,189816.0,66122.0,67044.0,27,11,60.8,0,Repaid,8.0,Low,Normal
CUST-12011,TXN-200128,2025-09-08,Retail,Nairobi,Transport,Informal,157826.0,314784.0,38101.0,8987.0,29,88,66.9,0,Repaid,33.2,Low,Loan-to-income mismatch
CUST-12221,TXN-200129,2025-06-17,SME,Accra,Health,Salaried,191020.0,273782.0,117191.0,82533.0,24,36,84.4,0,Repaid,3.6,Low,Normal
CUST-11978,TXN-200130,2026-01-14,Retail,Nairobi,Food,Salaried,115538.0,130563.0,20851.0,81618.0,28,44,79.3,0,Repaid,3.1,Low,Normal
CUST-11937,TXN-200131,2025-11-06,Agriculture,Accra,Food,Self-employed,108577.0,192959.0,21408.0,14907.0,30,9,86.8,0,Repaid,5.8,Low,Loan-to-income mismatch
CUST-10316,TXN-200132,2026-03-12,Agriculture,Abuja,Education,Salaried,277021.0,331445.0,116333.0,38692.0,26,7,65.1,0,Repaid,11.0,Low,Normal
CUST-11957,TXN-200133,2025-03-26,Market Trader,Kumasi,Education,Salaried,289637.0,134592.0,6498.0,16663.0,41,52,99.2,0,Repaid,1.0,Low,Normal
CUST-12782,TXN-200134,2025-05-20,SME,Kano,Health,Self-employed,107338.0,44934.0,51346.0,72196.0,24,40,84.1,0,Repaid,1.3,Low,Normal
CUST-11063,TXN-200135,2026-04-23,SME,Lagos,Shop,Salaried,244400.0,220846.0,63008.0,48101.0,44,67,74.0,0,Repaid,3.4,Low,Normal
CUST-12109,TXN-200136,2026-03-26,SME,Nairobi,Health,Self-employed,156918.0,238260.0,99797.0,56808.0,25,80,82.9,0,Repaid,9.5,Low,Normal
CUST-10107,TXN-200137,2025-07-21,Market Trader,Accra,Transport,Informal,187722.0,89984.0,85525.0,70001.0,22,7,59.8,0,Repaid,9.0,Low,Normal
CUST-11216,TXN-200138,2025-07-28,SME,Kumasi,Transport,Informal,197460.0,276700.0,10445.0,40063.0,16,93,34.0,0,Repaid,32.1,Low,High-risk repayment pattern
CUST-11528,TXN-200139,2025-04-10,Retail,Accra,Health,Self-employed,247119.0,192390.0,19363.0,32166.0,31,88,61.1,0,Repaid,2.4,Low,Normal
CUST-13439,TXN-200140,2025-02-11,Market Trader,Kigali,Shop,Salaried,168509.0,290479.0,12730.0,29024.0,30,55,85.5,0,Repaid,3.6,Low,Loan-to-income mismatch
CUST-10751,TXN-200141,2025-02-08,Retail,Abuja,Food,Self-employed,294274.0,71433.0,182495.0,48697.0,21,37,73.4,0,Repaid,1.7,Low,Normal
CUST-10967,TXN-200142,2025-01-04,Services,Lagos,Education,Salaried,185341.0,226344.0,83580.0,25293.0,27,17,69.5,0,Repaid,7.1,Low,Normal
CUST-11429,TXN-200143,2025-01-19,Market Trader,Accra,Health,Self-employed,211537.0,62621.0,61217.0,19182.0,19,24,56.7,0,Repaid,2.8,Low,Normal
CUST-13474,TXN-200144,2025-07-13,SME,Kigali,Fintech Agent,Salaried,114695.0,104800.0,16780.0,97933.0,19,67,36.8,0,Repaid,6.6,Low,High-risk repayment pattern
CUST-12986,TXN-200145,2025-11-29,Market Trader,Accra,Health,Salaried,402978.0,86470.0,229856.0,27448.0,24,14,97.6,0,Repaid,1.0,Low,Normal
CUST-10121,TXN-200146,2025-11-29,Retail,Kano,Transport,Salaried,198258.0,242152.0,29140.0,37918.0,25,92,68.3,0,Repaid,4.0,Low,Normal
CUST-10818,TXN-200147,2025-12-18,Retail,Kumasi,Food,Salaried,219577.0,413414.0,102149.0,62738.0,32,15,64.3,0,Repaid,13.4,Low,Loan-to-income mismatch
CUST-12875,TXN-200148,2025-11-29,Retail,Kano,Shop,Self-employed,82831.0,33339.0,41490.0,26831.0,24,72,59.9,0,Repaid,4.0,Low,Normal
CUST-10204,TXN-200149,2025-12-06,SME,Accra,Health,Unemployed,115205.0,208774.0,23690.0,19020.0,19,81,94.6,0,Repaid,12.6,Low,Loan-to-income mismatch
CUST-12994,TXN-200150,2025-07-18,SME,Kigali,Shop,Self-employed,273734.0,404281.0,92548.0,135015.0,23,29,87.9,0,Repaid,4.1,Low,Normal
CUST-10984,TXN-200151,2025-06-12,Retail,Kano,Shop,Salaried,183596.0,238716.0,29464.0,53726.0,30,47,54.6,0,Repaid,14.1,Low,Normal
CUST-13211,TXN-200152,2025-08-08,Market Trader,Accra,Fintech Agent,Self-employed,72854.0,110072.0,18849.0,35009.0,21,56,93.0,0,Repaid,1.5,Low,Normal
CUST-11027,TXN-200153,2026-02-13,Market Trader,Nairobi,Shop,Self-employed,251722.0,233017.0,158090.0,37375.0,18,77,69.4,0,Repaid,6.6,Low,Normal
CUST-11520,TXN-200154,2025-10-07,SME,Kumasi,Transport,Informal,129523.0,227566.0,59150.0,152815.0,27,6,61.0,0,Repaid,21.6,Low,Loan-to-income mismatch
